,brand,city,title,desc,image_count,created_at,price
8154,Samsung::سامسونگ,Tehran,نوت ادج  4  فوق العاده تمیز.,نوت ادج فوق العاده تمیز .اصلا استفاده نشده.برچسب دوربین هنوز کنده نشده.بدون هیچ خط و خش.به بالاترین پیشنهاد,0,Friday 10PM,1536648
8156,Sony::سونی,Shiraz,تعویض یا فروش z ultra,"دوربین گوشی غیرفعال شده نمیدونم مشکل نرم افزاریه یا سخت افزاری
مشکل دیگه ای نداره",0,Saturday 04PM,451111
8186,Apple::اپل,Qom,Iphone 6,گوشی ایفون سیکس ٦٤گیگ هست رنگ سیلور گوشی خيلي تمیزه فقط دوتا زدگی کوچیک داره گوشش!اصلی و سالم و بدون هیچ مشکلی!پارت نامبر lla هم هست!معاوضه هم میکنم,2,Monday 01PM,1611496
8193,Apple::اپل,Tehran,اپل 5s,Appel 5s 16 gold نو,0,Tuesday 09PM,831852
8195,Apple::اپل,Tehran,"apple 5s,32G,gold design 24 k,luxury",گوشی ایفون 5s لاکچری با روکش طلای ٢٤ عیار واقعی  همراه با سند اصلی ،بدون کوچکترین خط و خش،,0,Wednesday 03PM,1140110
8199,Samsung::سامسونگ,Ahvaz,موبایل سامسونگ,"اچ تی سی، ال جی
سونی ،سامسونگ
هوآوی،معاوضه کارکرده
شما با هر نوع گوشی آکبند
نقد و اقساط با چک کارمندی
تلفن$NUM",1,Thursday 03PM,690871
8233,Sony::سونی,Mashhad,خریدار گوشی خاموش z3,خریدار گوشی ال سی دی سوخته z3 و دارای برد سالم,0,Sunday 09PM,368515
8239,Samsung::سامسونگ,Mashhad,فروش نوت 3 فورجی,"گوشی نوت 3 درحد آک 
بدون یک خش درجه یک
انگار نو میخری
کلس
گارد ژله ایی
مشکی
فورجی
هندزفری هاش هنوز استفاده نشده
قیمت 900ت",0,Tuesday 05PM,878445
8250,Samsung::سامسونگ,Karaj,a3 new 2016,پنج ماهه خریدم فوق العاده سالم .معاوضه با خانواده ایفون .سر هم میدم اگر گوشیتون مدل بالا باشه.لطفا اس ام اس بدین تماس نگیرید.گوشی تعمیری ولاکچری نباشه.....,0,Friday 01PM,769658
8262,Samsung::سامسونگ,Tehran,سامسونگ نوت 3,"SAMSUNG GALAXY NOTE 3 
32GB
HAMRAH BA 4COVER
GHEYMAT HAM TAVAFOGHI HAST...",0,Sunday 04PM,1220537
8263,Nokia::نوکیا,Tehran,نوکیا X6 16 gb با تمام لوازم اصلی,سالم، بدون کوچکترین تعمیر، با تمام لوازم (هدست دوتکه، هولدر داخل ماشین، کابل usb و اتصال به تلویزیون، شارژر),3,Sunday 04PM,532989
8265,Huawei::هوآوی,Qom,گوشی g 700,گوشی تمیز و سالم فقط چندتا خط خوردگی داره که اینم طبیعیه واس گوشی اما هیچ مشکلی از این بابت نداره به مشتری واقعی تخفیف هم میدم. لوازمش هم تکمیله.,3,Sunday 06PM,377492
8268,Samsung::سامسونگ,Shiraz,گوشی موبایل j1 mini,گوشی ا هفته خریدم. ...به رنگ گلد...4g هست. ..بدون عیب و خط و خش ....,3,Monday 03PM,507568
8281,Samsung::سامسونگ,Qom,S3 mini گوشی,"گوشی صحیح و سالم 
به دلیل خرید گوشی دیگر قصد فروش دارم تلگرام هم جوابگو هستم 
قیمت هم توافقی هست 
لطفا قیمت پرت ندید 
باتشکر",0,Thursday 04PM,599386
8293,Samsung::سامسونگ,Tehran,Samsung galaxy Ace 3,"گوشی مشکی دو سیم کارت همراه جعبه و شارژر و 3 قاب  و گلس،  فقط دور گوشی کمی رنگ رفتگی دارد و جای سیم کارت اول کار نمیکنه. قیمت پیشنهادی خود را در تلگرام بگید 
ممنون از دیوار",3,Tuesday 03PM,317852
8314,Nokia::نوکیا,Shiraz,Microsoft lumia 1320_sony z,گوشی ماکروسافت لومیا 1320تمیز وعالی رنگ مشکی و یکعدد گوشی سونی zبفروش میرسد. گوشی لومیا با ایفون 5cیا5s یا همرده تعویض میگردد.,1,Thursday 11AM,650944
8344,Nokia::نوکیا,Mashhad,نوکیا ۷۶۱۰,سالم و در حال کار,1,Saturday 11PM,59293
8348,HTC::اچ‌تی‌سی,Tehran,معاوضه گوشی,"گوشی htc amazeسالم و مرتبط با مهلت تست کارتن و همه چیزش موجوده فقط معاوضه با هليكوپتر كنترلي يا لنسر ماهیگیری
یا کنسول بازی 
شکوهی
$NUM",2,Monday 11PM,415672
8350,Apple::اپل,Tehran,ایفون ٥ اس,"١٦ گیگ 
در حد 
به شرط 
LLA",1,Thursday 10AM,1264944
8357,Apple::اپل,Tehran,Iphone 6 64 gold lla,"بسیار تمیز با جعبه و وسایل آکبند 
مناسب مصرف کننده",0,Tuesday 09PM,1447961
8371,Samsung::سامسونگ,Shiraz,گوشی موبایل پلم vinovo s6,گوشی حتی برای تست هم سیم کارت نخورده کارتن وشارژر و هنسفری دارد,2,Friday 09AM,949561
8373,LG::ال‌جی,Isfahan,"گوشی موبایل LG مدل G5, V10, K10","فروش انواع گوشی تلفن همراه با اقساط ۱۲ ماهه، با نرخ کارمزد ماهیانه ۱.۵ درصد
ارتباط فقط از طریق تماس تلفنی",0,Friday 03PM,670376
8381,Sony::سونی,Qom,سونی زد الترا برای اوراق,یک دستگاه زد الترا تاچ آل سی سالم در پشت نو به رنگ مشکی برد سالم فقط ای سی تاچ برد مشکل داره باتری سالم لوازم تک تک یا همه باهم به فروش می رسد قیمت تون رو پیامک کنید,0,Wednesday 06PM,353462
8398,Apple::اپل,Isfahan,فروش ایفون۶گری۶۴ فقط خم شده یکم,سلام گوشی سالمه سالمه فقط یکم خم شده که تو عکس مشخصه فروش فقط نقد معاوضه هم دارم با همرده و پایین تر,1,Tuesday 02PM,717156
8399,Samsung::سامسونگ,Mashhad,s6 edge plus,گوشی در حد اک و برچسب گلس انداختم .فروش یا تعویض با گوشی هم رده,0,Tuesday 02PM,1461006
8400,Apple::اپل,Isfahan,گوشی ایفون 6s plusطرح اصل,"سیم شارژش از داخل قطعی داره ک ی تعمیر جزیی میخاد ک هزینه خاصی نداره،من چون نیازش نداشتم ندادم تعمیر الان هم شارژ نداره ی مدته خاموشه
۳۲گیگ حافظه داخلی
دوربین پشت۸م.پ
دوربین سلفی ۵م.پ",3,Tuesday 07PM,898086
8408,Sony::سونی,Tehran,xperia m dual sim,"گوشی 2 ساله استفاده نشده.فقط دکمه ی ولومش افتاده که کل درب پشتش رو علائدین 10 تومن میفروشه.
فوق العاده تمیز و سالم.مشکی...با جعبه و وسایل.دارای یک گارد فوق العاده.",0,Friday 12PM,599918
8409,LG::ال‌جی,Tehran,گوشی lg g4,"سلام 
گوشی ال جی g4 دو سیم پشت قهوه ای
بدون هیچ گونه مشکلی نرم افزاری
فقط ویبره گوشی نمیدونم چرا قطع شده
با بیمه نامه رسمی که میتونید ببرید و مشکلش رو برطرف کنید،من خودم وقت نمیکنم
بیشتر قصدم تعویض با گوشی های هم رده هست تا فروش
لطفا اس ام اس بزنید",0,Saturday 10AM,720676
8430,Huawei::هوآوی,Shiraz,گوشی هواوی g750,گوشی هواوی g750کاملا تمیز بدون هیچ ضربه ای هشت هسته ای.,3,Friday 11PM,380825
8431,Samsung::سامسونگ,Ahvaz,گوشی سامسونگ رنگ جگری,سلام گوشی سامسونگ کار کرده اما کارتن شارژ هندزفری داره رنگ جگری مدل 6312 قیمتم توافقی مرسی دیوار,2,Saturday 12AM,476920
8433,ZTE::زدتی‌ای,Mashhad,فروش اقساطی گوشی با چک ازاد1الی8ماه,فروش اقساطی گوشی باچک ازاد1الی8ماه,0,Saturday 11AM,512895
8438,Sony::سونی,Ahvaz,soňʏ.z2.4ɢ,"سلام گوشی سالم شرط سفید 16ɢاندروید6
دوربین20",0,Sunday 07PM,620041
8444,Apple::اپل,Tehran,Apple iPhone 5s - 64GB,"فروش فوری iPhone 5s کارکرده تمیز و سالم با شارژر، هندزفری، جعبه و ...
 ظرفیت حافظه داخلی ۶۴ گیگابایت و ۱ گیگابایت حافظه RAM",2,Monday 09PM,1177594
8456,Huawei::هوآوی,Tehran,گوشی,"سالم و بی خش 
دارای:
قاب ژله ای
باتری اضافه
تمامی لوازم جانبی
مدل:
 هوآوی Y300",2,Friday 02PM,119851
8458,Nokia::نوکیا,Tehran,نوکیا لومیا 1520 NOKIA Lumia,بسیار کم کارکرد در حد نو بدون کوچکترین خط و خش,4,Friday 09PM,792425
8460,Samsung::سامسونگ,Tehran,گوشی موبایل نوت٢,"سالم بدون خط و خش واقعا درحد آک 
فقط تماس",2,Saturday 04PM,584281
8466,Samsung::سامسونگ,Tehran,گوشی s4معاوضه باs3,گوشی s4معاوضه باs3دوسیم کارت درحدنو ....گوشی s4سالمه سالمه به شرطه تست و شارژوباطری ازتلگرام واس  هم پاسخگوهستم,3,Monday 07PM,501274
8472,Apple::اپل,Tehran,اپل 6S 64G silver,"١ماه کارکرده سالم بدون هیچ خشی 
با دوعدد قاب اورجينال
LLAامریکا",2,Wednesday 03PM,1780489
8488,Apple::اپل,Tehran,اپل ٦ اس.٦٤ گیگ,سالم بدونه ایراد و خط خش,2,Tuesday 10PM,1344366
8501,Samsung::سامسونگ,Mashhad,سامسونگ gear S,ساعت سامسونگ gear S سیمکارت خور خیلی تمیز قیمتم هرچی بازاره,0,Saturday 01PM,270395
8504,Samsung::سامسونگ,Tehran,فروش ویژه و استثنایی Samsung s7 edge,"قیمت اخر را از ما بگیرید 
فروش فوق‌العاده و استثنایی گلگسی s7 
وارد کننده مستقیم 
از همه جا قیمت بگیرید و در اخر به ما زنگ بزنید تا شگفت زده بشید 
ممنون از دیوار",2,Sunday 02PM,1485924
8514,Apple::اپل,Tehran,Iphone 6s rosegold,سیکس رزگلد ١٦گیگ قیمت:١٨٥٠,1,Tuesday 12AM,2194223
8525,Huawei::هوآوی,Isfahan,هوآوی G700-U10,"تمیز با کارتن و تمامی لوازم جانبی
اندروید 4.2.1
8 گیگ
دوربین 8 مگاپیکسل فول اچ دی",2,Saturday 03PM,223936
8535,Apple::اپل,Shiraz,ایفون 6s  اصلی,"ایفون 6s 16g$NUMسیلور
ایفون 6s 64g$NUMگلد
ایفون 6s 128g$NUMسیلور

تمامی گوشیها اصلی و با کار کرد خیلی خیلی کم بدون کوچکترین خط و خش قیمتها مقطوع میباشد 
بصورت نقد و اقساط
با تشکر از سایت دیوار",1,Wednesday 04PM,2248535
8544,Apple::اپل,Tehran,اپل 5s 16 gig,"سلام گوشی خیلی سالمه 
فقط یکم خطو خش داره که تویه عکس مشخص شده 
قیمتشو ٨٥٠ گذاشتم به مشتری یه تخفیف کوچولو میدم 
اس ام اس هم پاسخگو هستم 
ممنون",3,Saturday 08PM,709998
8554,Sony::سونی,Tehran,سونی اکسپریا V,"سالم می باشد.
دوربین 13 مگاپیکسل
تک سیم کارته
حافظه 8 گیگ
دوربین مجهز به لرزش گیر دست
دوربین جلو 3 مگاپیکسل
شبکه ارتباطی 3G و 4G",2,Monday 09PM,375147
8560,LG::ال‌جی,Tehran,گوشی موبایل lg g2,"قصد تعویض با htc one m8(m8_ul)
اگر کسی قصد تعویض دارهتماس بگیره 
گوشیم هم سلام بدون تعمیر بدون هیچ ایراد",0,Thursday 09AM,831529
8565,Samsung::سامسونگ,Mashhad,سامسونگ اس 2پلاس,سالم با تمام لوازم ب فروش میرسد قیمت پیشنهادیتونو اس ام اس کنید,2,Friday 06PM,575926
8599,Samsung::سامسونگ,Tehran,samsung not5 dull sim,"گوشی سامسونگ نوت۵ دوسیم رنگ گلد در حد آک تعویض با هم رده یا بالاتر 
فروش ۱۷۵۰ نقد بدون تخفیف
پیامک وتماس و تلگرام",0,Thursday 01PM,1251878
8621,Samsung::سامسونگ,Tehran,Sg A5 2016,سلام دستگاه نو و کم کارکرده و قیمت خودم ۹۸۰ که تا ۹۵۰ راه میام ممنون,1,Monday 03PM,833678
8630,Sony::سونی,Mashhad,سونی وی,تمیز بدون خط خش,0,Sunday 10AM,405958
8647,Sony::سونی,Tehran,سونی neo L,"صفحه 4 اینچ 
cpu 1 گیگا هرتز
دوربین 5 مگا پیکسل 
گوشی یه ایراد داره که باید فلش بشه 
بدون شارژر و هندز فری 
تخفیف پایه معامله
قیمت 200 هزار تومان",1,Thursday 01PM,229593
8654,Samsung::سامسونگ,Tehran,سامسونگ GT_S5222,"گوشی سامسونگ دو سیم کارته
کاملا تمیز به همراه کیف ژله ای
فقط جای سیم کارتش مشکل داره 15تومن پول درست کردنشه
واقعا گوشی خوبیه

فوری فروشی",2,Monday 04PM,267125
8723,HTC::اچ‌تی‌سی,Shiraz,اچ تی سی دیزایر ۵۰۰,اچ تی سی دیزایر ۵۰۰،مشکی  دوسیمکارت کم کار بشرط,0,Saturday 07PM,293275
8725,Samsung::سامسونگ,Qom,سامسونگ اس۳اصل,فروش یا معاوضه با لپ تاب,2,Sunday 10AM,427879
8728,Sony::سونی,Shiraz,معاوضه گوشی سونی T2 ultra dual,معاوضه گوشی سونی T2 ultra dual با گوشی های همرده یا بالا تر دوربین 13 6 اینچ گوشی سالم ومرتب همراه با ضد خش و ای فیس,2,Monday 11AM,506058
8734,Apple::اپل,Tehran,آیفون 64se,نو در حد ٣ماه کارکرد لوازم اصل١/٩٠٠,4,Wednesday 06PM,1068515
8737,HTC::اچ‌تی‌سی,Tehran,گوشی اچ تی سی Amaze 4G,گوشی بسیار تمیز وبخاطر این که دارم گوشی دیگری میخرم میفروشم,3,Thursday 08AM,437734
8739,Sony::سونی,Tehran,سونی zr,"با سلام
گوشی سالم.بدون هیچ مشکل نرم افزاری یا سخت افزاری.اندروید5.لوازم موجود(هندزفری و شارژر فابریک هنوز باز نشده)
لطفا فقط اس بدید.ممنون",0,Friday 10AM,305387
8747,Apple::اپل,Mashhad,اپل ٦ اس ٦٤ گیگ,بدون نقطه رنگ گری ٦٤ گیگ فروشنده یا معاوضه با ایفن ٧ بلک ١٢٨ گیگ کاسب تماس نگیره,0,Sunday 01PM,1952164
8750,Lenovo::لنوو,Isfahan,فروش هوآوی هانر6 فوق تمیز,عکس نگذاشتم چون فوق العاده تمیزه و سالم ، فقط تماس بگیرید . پیامک جوابگو نیستم,0,Monday 09AM,391784
8751,Samsung::سامسونگ,Tehran,گالکسی s4 mini,گوشی سالم. بدون خط و خش. دو سیم. سفید.,0,Monday 01PM,354152
8759,Samsung::سامسونگ,Tehran,j3 - 4G,در حد نو - 2ماه کارکرده,4,Tuesday 07PM,574100
8762,Apple::اپل,Tehran,Iphone 4 16g,"کاملا سالم وتمیز 
تعویض هم دارم با همرده و بالاتر
فقط دکمه هوم سفت شده که خیلی راحت میشه حلش کرد",4,Wednesday 11AM,723606
8773,Apple::اپل,Tehran,ایفون ١٢٨ مشکی ٦ اس,گوشی سالم سالم، بدون خط و خش، معاوضه نمیکنم.,2,Friday 01AM,1623738
8776,Samsung::سامسونگ,Isfahan,گوشی موبایل مدلGT-B5722,"یک دستگاه گوشی سامسونگ لمسی
تمیز و سالم
دو سیم کارت
با کارتن و شارژر",1,Friday 02PM,250846
8797,Nokia::نوکیا,Tehran,نوکیا6300,سلام گوشی نوکیا مدل6300 سالم.,1,Monday 09AM,7916
8809,Huawei::هوآوی,Isfahan,گوشی g510,"سالم با کارتن شارژر. چندتا خش و زدگی رو در پشت و گوشه هاشه. دوربین 5 دوربین جلو داره آندرویدش ۴،١،١ صفحش ۴/۵ اینچ قیمت ١۵٠ گفتم با مدل بالا تر وصفحه بزرگتر سالم وتمیز سامسونگ یا هوآوی میزنم. بسته به مدل وقیمتش تا ١٠٠ تومانم سر میدم فقط قیمت نپرونید. مدل وقیمت گوشی را اس کنید اگه مناسب بود معامله میکنیم ترجیحا بین این مدلها...g610,,g630,,g700,,g730,, هانور 3c,, گرند,,کور2,, پولیم کسی خاست یه تخفیف میدم. به دلیل اینکه سربازم اگه جواب ندادم اس بدید فرداش جوابتونا میدم.",2,Saturday 09PM,64967
8820,ZTE::زدتی‌ای,Mashhad,HTC 8s و Samsung grand primeفروش کارکرده,"گوشی ها بسیار تمیز هستند
سالم
گرند پرایم رنگ گلد
اچ تی سی رنگ سبز فسفوری،آپدیت شده به ویندوزفون ۸.۱
گرند پرایم ۴۰۰هزار
اچ تی سی ۳۵۰هزار",0,Tuesday 01PM,171626
8824,Sony::سونی,Shiraz,گوشی سونیSlتمیز,"باسلام یه گوشی تمیزبا32گیگ حافظه داخلی دوربین عالی12فولHD قابلیت وصل شدن کیبوردودسته بازی وموس بسیارعالی جهت مصرف کننده
باتشکرازمدیریت برنامه دیوار",2,Wednesday 10PM,470955
8834,Apple::اپل,Ahvaz,گوشی موبایل اپل 5 بسیار تمیز,"۷۵۰ هزار تومن گذاشتمش
خیلی کم کار کرده و پارسال خریدمش 
تمام لوازمش فابریک هستش
به مشتری واقعی کمی تخفیف میدم",2,Monday 07PM,832156
8848,Huawei::هوآوی,Mashhad,هوآوی جی750,گوشی تمیز وعالی هست خریدار تماس بگیره سرقیمتم کنار میام باهاش,0,Sunday 08PM,374110
8850,Apple::اپل,Ahvaz,ایفون 4s,"4s سفید ٣٢ گیگ تمیز و بدون تعمیر با ios 8 
قیمت ٥٥٠",1,Monday 12AM,100456
8860,Apple::اپل,Tehran,5c به قیمت عمده,فروش تعدادی ایفون 5c ١٦ گیگ درحد نو در همه رنگ,0,Tuesday 10PM,468060
8865,Samsung::سامسونگ,Tehran,فروش گوشی سامسونگ بصورت اقساط,"فروش سامسونگ به صورت اقساط و اپل کار کرده به صورت اقساط 
در صورت ارتباط فقط تلگرام پاسخگو هستم",0,Saturday 05PM,472608
8869,Apple::اپل,Tehran,ایفون s64,گوشی در حد بدون ضربه و خطوخش,2,Tuesday 12AM,1088050
8883,Apple::اپل,Shiraz,iPhone 7 jet black 128gb,"ده روز استفاده شده با اسکرین گارد و کاور 
iPhone 7 128gb jet black",1,Thursday 09PM,1402244
8885,Apple::اپل,Tehran,گوشی اپل s4,تاچ ال سی دی شکسته_خاموشه,1,Thursday 05PM,465180
8899,Sony::سونی,Tehran,sony zl model.,نو نو نو نو هست,2,Thursday 07PM,573938
8908,Huawei::هوآوی,Tehran,هواوی g8فوق العاده سالم,وسایل داخل کارتون هنوز باز نشده کوشی کاملا درحد نو بدون کوچکترین خط و خش رنک,2,Saturday 08AM,427958
8922,Apple::اپل,Isfahan,اپل$NUMگیگ,بسیار نو وعالى در حد اک,0,Saturday 11AM,1305083
8924,Samsung::سامسونگ,Shiraz,s7samsung,گوشی نو فروش,0,Sunday 07AM,555206
8926,Apple::اپل,Tehran,i phone 5s 16g,"گوشی سالمه تا حالا تعمیرگاه نبردم 
فقط خط و خش داره 
خریدار واقعی تخفیف خوب میدم",4,Tuesday 07AM,773968
8928,Samsung::سامسونگ,Shiraz,سامسونگ گلکسی گرند تمیز دو سیمکارت,"گوشی کاملا سالم و کم کارکرد (دو ساله که استفاده نشده)
همراه با کارتون ، کاور و......
مشتری واقعی بزنگه",2,Tuesday 08PM,396679
8934,Apple::اپل,Tehran,ایفون 5s.,فنی سالم با چند عد قاب,2,Friday 04PM,742714
8941,LG::ال‌جی,Mashhad,نکسوز5x,رنگ سفید حافظه داخلی۱۶ گیگ,0,Sunday 08PM,475018
8964,Apple::اپل,Mashhad,اپل ۴ اس ۶۴ در حد,گوشی تمیز بدون خط و خش با تمام لوازم,3,Friday 08PM,1453058
8980,Apple::اپل,Karaj,گوشی iphone 5s  32gig,"قيمت ١،١٠٠،٠٠٠ بدون خط و خش گوشی در حده
ب مشتری واقعی تخفیف میدم",2,Saturday 06AM,851188
8987,Samsung::سامسونگ,Qom,سامسونگ نوت 2,"تمیز بدون خط و خش 
دوربین 8 واقعی حافظه16 دارای nfc
معاوضه با j5 2016",1,Sunday 05PM,753976
8993,Sony::سونی,Karaj,تعویض یافروش زد3پلاس,درحد،32گیگ،دوسیم4جی،هم فروش هم تعویض،پیشنهاهاتون و بفرمایید من درخدمتم،باتشک از مدیریت دیوار,1,Monday 01PM,457155
8999,Nokia::نوکیا,Tehran,گوشی موبایل N97,"گوشی نوکیا N97 مشکی بسیار تمیز و سالم.
باتری کاملا سالم. 
حافظه داخلی 32 گیگ. 
دوربین carl ziess. 
دارای کیبورد فیزیکی. 
قیمت پیشنهادی$NUMتومن. 
به مشتری واقعی تخفیف هم میدم. 
با تشکر از دیوار.",2,Tuesday 06PM,267085
9009,Samsung::سامسونگ,Shiraz,سامسونگG5سالم درحدنو4G,گوشی سامسونگ G5ب شرط سالم اینترنت 4Gقیمت 500یامعاوضه باNOT3,3,Thursday 03PM,420235
9019,Apple::اپل,Tehran,6s 16g,کارکرده بدون کوچکترین خط و خش اکبند,1,Monday 11AM,1821053
9021,Nokia::نوکیا,Ahvaz,عمده گوشی ساده,"گوشی ساده با قیمت عمده
۱۲۸۰ چینی$NUM
۱۰۵چینی   ۴۸۰،۰۰۰
۱۲۰۸ اصلی ۴۴۰،۰۰۰
۱۶۱۶ اصلی ۵۲۰،۰۰۰

توضیحات .واتساپ$NUM

تخفیف جزیی





با تشکر",0,Monday 04PM,107526
9023,Samsung::سامسونگ,Tehran,S6 fllat,"گوشی سامسونگ s6 fllat
گلد 
حافظه ٣٢
کاملا سالم و تمییز  بدون هیچی تعمیری 
تو عکس همه چه مشخصه 
فقط قصد فروش دارم معاوضه ندارم",5,Tuesday 11AM,1203795
9024,Huawei::هوآوی,Karaj,فروش honor 3c,"فروش گوشی honor 3c نو نو بدون کوچکترین خط یا خش همراه با قاب 3G
2 سیم کارته
فقط فروش",0,Tuesday 02PM,459307
9027,ZTE::زدتی‌ای,Tehran,گوشی موبایل کاترپیلار s30 در حد,بسیار تمیز فروشنده واقعی تماس بگیرد ممنون,0,Wednesday 04AM,383513
9045,Nokia::نوکیا,Tabriz,Nokia,"همه گوشی ها سالم و بدون ایراد در حد آک همراه با لوازم 
نوکیا مدل های 230 #301#206#3250 #3650#6030#N82
سونی اریکسون 550
مارشال اندروید 
معاوضه هم با هر چی ک ب دردم بخوره  لوازم موتور سیکلت",3,Monday 07PM,279160
9053,ZTE::زدتی‌ای,Ahvaz,گوشی,"گوشی های اک j7.j5.j3 
چینی برا فروش
هواوی U5 و
انواع تبلت

 لطفا فقط زنگ بزنید.",0,Thursday 01PM,67473
9060,Samsung::سامسونگ,Shiraz,فروش گوشیهای نو و کارکرده,"خرید و فروش جزیی انواع گوشیهای نو و کارکرده سامسونگ،هواوی و تبلت
فروش لوازم جانبی موبایل و تبلت از قبیل انواع پک کاور نانو(ژله ای)*آی فیس*دور رنگی و پشت رنگی،گلس ضد ضربه،باتری اصلی با 6ماه گارانتی،شارژر معمولی و گارانتی دار کیفیت بالا،فلش و مموری با گارانتی مادام العمر،هندزفری سیمی و بی سیم معمولی و اصلی،هدفون.
فروش سیمکارت ایرانسل و همراه اول اعتباری و دایمی با قیمت مناسب.",0,Saturday 09PM,683316
9063,HTC::اچ‌تی‌سی,Tehran,HTC one 801,همه چی تموم قاب اضافه و هنزفری و شارژر و گلس,3,Sunday 07AM,508880
9069,Apple::اپل,Ahvaz,ﮔﻮﺷﻲ Iphone 6s 64 GB,"ﻳﻜﺪﺳﺘﮕﺎﻩ ﮔﻮﺷﻲ iphone s6 64 GB ﺁﻛﺒﻨﺪ ﻃﻼﻳﻲ ﺭﻧﮓ ﺑﻪ ﻗﻴﻤﺖ 2 ﻣﻴﻠﻴﻮﻥ و ﺳﻴﺼﺪ, ﻣﻌﺎﻭﺿﻪ ﻧﻤﻴﻜﻨﻢ ﻟﻂﻔﺎ ﭘﻴﺎﻡ ﺑﺪﻳﻦ, ﺗﻤﺎﺱ ﭘﺎﺳﺦ ﺩاﺩﻩ ﻧﻤﻴﺸﻮﺩ",3,Wednesday 02PM,2087693
9081,Sony::سونی,Tabriz,تعویض و فروش sony z3,گوشی سفید رنگ در حد آکبنده، بدون ذره ای ایراد، دوسیم و فورجی، قصدم خرید مدل بالاتره و بیشتر بخاطر تنوع ، وگرنه ازش راضیم.موارد رو اس بدین.با تشکر,0,Saturday 03PM,663197
9086,LG::ال‌جی,Shiraz,تعدادی از قطعات LG G3,با سلام.فروش دوربین عقب و جلو و دیش انتن و شاسی تک سیم سفید رنگ و تعدادی از قطعات htc disire 700,1,Monday 07AM,257671
9119,Apple::اپل,Tehran,✅iphone 5s super gold✅,"ایفون 5s super gold از طلای ٢٤ عیار هستش
و از خود امریکا وارد شده به همراه کاغذ خرید
و حجمش 128 هست 
کاملا تمیز از جعبه باز هم نشده...
به همراه گارانتی کالی سال(کالیفرنیا)",0,Monday 05PM,1261657
9123,Samsung::سامسونگ,Tehran,خرید و فروش گوشیهای کارکرده حتما بخونید,"با سلام
بهترین خریدار گوشیهای کارکرده ی شما در محل
فروش گوشیهای کارکرده با قیمت مناسب
nexus 6 64 gig sormei akband 1250
note 5 do sim 32 akband 1650",0,Tuesday 04PM,1159339
9146,Nokia::نوکیا,Isfahan,گوشی مدل 107,همه چیز سالم .دو سیم کارت .مموری خور .با صدای خیلی بلند .بشرط میدم گوشی فوق العاده ایه قیمت خودتونو پیامک کنید تماس میگیرم .قیمت پرت هم ندید,2,Saturday 07PM,447503
9162,Huawei::هوآوی,Mashhad,هواوی Y511,"سلام گوشی سالمه,فقط یه ترک ریز روی صفحه ی محافظه گوشی هست,اندروید 3G ,به همراه اقلام گوشی,بدونه خط و خش,قیمت 200 هزار تومان با تخفیف یا معاوضه با گوشی,با تشکر,آگهی درج شود",4,Wednesday 11AM,244805
9168,Samsung::سامسونگ,Mashhad,گوشی galaxy E5 ال سی دی خراب,"گوشی گالاکسی  E5 سامسونگ بسیار با کیفیت
بدون ال سی دی بفروش میرسد....بقیه قطعات و باطری کاملا سالم و تمیز....
لطفا قیمت درخواستی تون رو پیامک کنید...",0,Thursday 07PM,75806
9171,Samsung::سامسونگ,Tehran,گوشی آکبند G5 2016,رنگ سفید، دوسال گارانتی اصلی، فورجی، اصل ویتنام، دوسیمکارت همزمان بعلاوه جای رم، فروش قیمت توافقی.,1,Saturday 05PM,1021192
9178,HTC::اچ‌تی‌سی,Tehran,htc 10 مشکی بدو خط و خش در حد,"در حد نو 
مشکی 32 گیگ تایوان",0,Thursday 02AM,821999
9183,Samsung::سامسونگ,Qom,فروش یا معاوضه سامسونگ j7 2016,"گوشی سفید، در حد آک بدوم خط و خش
جهت خرید قیمت مورد نظرتون رو یا پیامک کنین یا تلگرام بفرستین
معاوضه با گوشی هم‌رده یا بالاتر
فقط پیامک و تلگرام",2,Sunday 07AM,755997
9184,Huawei::هوآوی,Ahvaz,گوشی هواوی تمیز,"این گوشی رو چند ماهه که خریدم
زیاد ازش استفاده نکردم 
تک سیمکارت میباشد
قیمتش  
$NUMتومان",2,Sunday 04PM,530574
9210,Apple::اپل,Isfahan,ایفون 6 ،16گیگ,یک گوشی آیفون 6 کاملا نو بدون ضربه با حافظه 16,3,Friday 07PM,1140498
9219,Huawei::هوآوی,Shiraz,گوشی p8لایت معاوضه با اپل 4یا 5,بسیار تمیز بدون خط وخش 3ماه هم بیش کار نکرده,1,Sunday 11AM,720186
9238,LG::ال‌جی,Ahvaz,موبایل صفحه ضد خش ال جی,موبایل بدون هیچگونه خط و خش تمیز صفحه گوریلا گلاس،ضد خش ببینید متوجه میشین چقدر تمیز و نو هستش...واتساپ ج میدم.,1,Sunday 09PM,575324
9257,Apple::اپل,Mashhad,فروش آیفون 6s-64,"فروش آیفون 6s-64
رنگ= رزگلد
بسیار تمیز و بدون نقطه ، کاملاً مشابه آک",0,Sunday 06AM,2340130
9266,Apple::اپل,Shiraz,iphone$NUMG,فقط امشب...,3,Thursday 04PM,1158633
